no,ranking,bookname,authors,publisher,publication_year,isbn13,class_nm,loan_count,page_price
1,1,"물고기는 존재하지 않는다 :상실, 사랑 그리고 숨어 있는 삶의 질서에 관한 이야기 ",룰루 밀러 지음 ;정지인 옮김,곰출판,2021,9791189327156,자연과학 > 동물학 > 동물학,444,"17,000원"
2,2,불편한 편의점 :김호연 장편소설 ,지은이: 김호연,나무옆의자,2021,9791161571188,문학 > 한국문학 > 소설,417,"14,000원"
3,3,달러구트 꿈 백화점.이미예 장편소설 ,지은이: 이미예,팩토리나인,2020,9791165341909,문학 > 한국문학 > 소설,408,"13,800원"
4,4,우리가 빛의 속도로 갈 수 없다면 :김초엽 소설 ,지은이: 김초엽,허블,2019,9791190090018,문학 > 한국문학 > 소설,383,"14,000원"
5,4,지구 끝의 온실 :김초엽 장편소설 ,지은이: 김초엽,Giant Books(자이언트북스),2021,9791191824001,문학 > 한국문학 > 소설,383,"15,000원"
6,6,홍학의 자리 :정해연 장편소설 ,지은이: 정해연,문학동네,2021,9788954681155,문학 > 한국문학 > 소설,342,"14,000원"
7,7,"시선으로부터, :정세랑 장편소설 ",지은이: 정세랑,문학동네,2020,9788954672214,문학 > 한국문학 > 소설,336,"14,000원"
8,8,"칵테일, 러브, 좀비 ",지은이: 조예은,안전가옥,2020,9791190174756,문학 > 한국문학 > 소설,331,"10,000원"
9,9,구의 증명 :최진영 소설 ,지은이: 최진영,은행나무,2015,9788956608556,문학 > 한국문학 > 소설,318,"8,000원"
10,10,밝은 밤 :최은영 장편소설 ,지은이: 최은영,문학동네,2021,9788954681179,문학 > 한국문학 > 소설,310,"14,500원"
11,11,천 개의 파랑 :천선란 장편소설 ,지은이: 천선란,허블,2020,9791190090261,문학 > 한국문학 > 소설,295,"14,000원"
12,12,나는 소망한다 내게 금지된 것을 :양귀자 장편소설 ,지은이: 양귀자,쓰다,2019,9788998441074,문학 > 한국문학 > 소설,292,"15,000원"
13,13,트로피컬 나이트 =조예은 소설집 /Tropical night ,지은이: 조예은,한겨레엔,2022,9791160408331,문학 > 한국문학 > 소설,280,"15,000원"
14,14,달러구트 꿈 백화점.이미예 장편소설 ,지은이: 이미예,팩토리나인,2020,9791165343729,문학 > 한국문학 > 소설,277,"13,800원"
15,15,모순 :양귀자 장편소설 ,지은이: 양귀자,쓰다,2013,9788998441012,문학 > 한국문학 > 소설,273,"13,000원"
16,16,지구에서 한아뿐 :정세랑 장편소설 ,지은이: 정세랑,난다,2019,9791188862290,문학 > 한국문학 > 소설,269,"13,000원"
17,17,아버지의 해방일지 :정지아 장편소설 ,지은이: 정지아,창비,2022,9788936438838,문학 > 한국문학 > 소설,265,"15,000원"
18,18,공정하다는 착각 :능력주의는 모두에게 같은 기회를 제공하는가 ,마이클 샌델 지음 ;함규진 옮김,미래엔,2020,9791164136452,"사회과학 > 사회학, 사회문제 > 사회조직 및 제도",261,"18,000원"
19,19,"오늘 밤, 세계에서 이 사랑이 사라진다 해도 ",이치조 미사키 지음 ;권영주 옮김,바이포엠,2021,9791191043297,문학 > 일본문학 > 소설,255,"14,000원"
20,20,완전한 행복 :정유정 장편소설 ,지은이: 정유정,은행나무,2021,9791167370280,문학 > 한국문학 > 소설,254,"15,800원"
21,21,나미야 잡화점의 기적 :히가시노 게이고 장편소설 ,지은이: 히가시노 게이고 ;옮긴이: 양윤옥,현대문학,2012,9788972756194,문학 > 일본문학 > 소설,250,
22,22,아몬드손원평 장편소설,손원평,창비,2017,9788936434267,문학 > 한국문학 > 소설,245,"14,000원"
23,23,"어서오세요, 휴남동 서점입니다 :황보름 장편소설 ",지은이: 황보름,클레이하우스,2022,9791197377143,문학 > 한국문학 > 소설,242,"15,000원"
